Source,Destination,Weight
hasan faramrazi,IRAN ISLAMIC REPUBLIC OF,1.0
david cameron andgeorge osborne,BANGLADESH,1.0
aidan price,NORWAY,1.0
douglas hale jr.,UNITED STATES,1.0
maha azzam,JORDAN,1.0
yeni safak,TURKEY,1.0
rafik al hariri,TURKEY,1.0
john garang de mabior,UNITED KINGDOM,1.0
matt kuchar,UNITED STATES,2.0
chris dyer,ITALY,1.0
tom berger,LIVERPOOL ENGLAND,4.0
maged mahmoud,EGYPT,1.0
reem badran,JORDAN,1.0
hosni mubarakyesterday,EGYPT,3.0
anthony neilson,UNITED KINGDOM,1.0
gen rashid ammar,TUNISIA,5.0
john rwangombwa,RWANDA,1.0
faruq khan,SAUDI ARABIA,1.0
ali asghar soltanieh,CHINA,1.0
yusli mohamed yusoff,MALAYSIA,1.0
st phane hessel,FRANCE,2.0
josip skoko,AUSTRALIA,1.0
helene coopersection,EGYPT,1.0
jonathan franzen,ENGLAND,1.0
eric watkins,IRAQ,2.0
stephen leaney,SCOTLAND,1.0
daniel boulud,SINGAPORE,1.0
josephdunford jr.,UNITED STATES,1.0
derry editionpope,EGYPT,1.0
jose eduardo dos santos,AFRICA,1.0
al khatibconverted,SAUDI ARABIA,1.0
zakir hussain,LONDON ENGLAND,1.0
bob aloneissi,IRAQ,1.0
muhammad al-sudani,IRAQ,2.0
pablo schreiberstar,UNITED STATES,2.0
john ensign,CONNECTICUT USA,1.0
abir aziz,EGYPT,1.0
abd-al-aziz al-husayni,EGYPT,1.0
al madar,UNITED STATES,11.0
junya watanabe,UNITED STATES,1.0
carlos sainz,MOROCCO,1.0
robert marquand,TUNISIA,2.0
shaykh ali belhadj,ALGERIA,2.0
vic huglin,ROMANIA,1.0
george soros,PAKISTAN,1.0
walid abd-al-rahman,IRAN ISLAMIC REPUBLIC OF,1.0
blaise campaore,WESTERN AFRICA,1.0
humphrey bogart,LONDON ENGLAND,1.0
charles ray,UNITED ARAB EMIRATES,1.0
john beyrle,UNITED STATES,1.0
kevin kungbyline,HONG KONG,2.0
ben marlow,UNITED STATES,1.0
david drysdale,UNITED ARAB EMIRATES,2.0
anja hecht,GERMANY,1.0
mark boucher,INDIA,2.0
jessica ennis,GERMANY,2.0
adrian mannarino,MASSACHUSETTS USA,1.0
steve huen kwok-chuen,EGYPT,1.0
jessica waswa,PARIS FRANCE,1.0
hillary clintonthe,BEIRUT LEBANON,1.0
muhammad jabrin,JORDAN,1.0
ben roethlisberger,QATAR,1.0
john kerry,ETHIOPIA,1.0
las vegas,KENYA,1.0
christopher walker,EUROPE,1.0
hasht-e sobh,PAKISTAN,1.0
al jezeera,SYRIA,1.0
arab summit,IRAQ,2.0
salman abu-sittah,PALESTINIAN TERRITORY OCCUPIED,1.0
guiseppe conlon,LIVERPOOL ENGLAND,2.0
tony blairand george bush,ISRAEL,1.0
ernest habiyambere,AFRICA,2.0
bangkokand chiang mai,EGYPT,2.0
brett emertonmakes,AUSTRALIA,2.0
john o'dolan,DUBAI UNITED ARAB EMIRATES,2.0
martin regg cohn,CANADA,1.0
preszine al-abidine ben ali,TUNISIA,4.0
umberto croppi,EUROPE,1.0
cote d'ivoire,KENYA,2.0
abraham majur laam,SUDAN,1.0
soccerooscoach holger osieck,AUSTRALIA,127.0
michael chiklis,TUNISIA,1.0
mazen darwish,SYRIA,1.0
balqis al-khafaji,UNITED STATES,2.0
monica lewinsky,CONNECTICUT USA,1.0
kanye west,LIBYAN ARAB JAMAHIRIYA,1.0
rumeal robinson,CANADA,1.0
tony pulis,LONDON ENGLAND,1.0
nadalousted tomas berdych,SCOTLAND,1.0
amar abd rahman,MALAYSIA,1.0
herbie hancock,UNITED STATES,1.0
laila trabelsi,TUNISIA,2.0
hillary clintonthe,INDIA,1.0
eric sykes,SCOTLAND,1.0
