Source,Destination,Weight
abdallah bin-abd-al-aziz,LEBANON,2.0
baader meinhof,UNITED STATES,1.0
atallah abu-al-sabh,PALESTINIAN TERRITORY OCCUPIED,1.0
elizabeth halewood,SCOTLAND,3.0
khalid bin-abdallahbin-abd-al-aziz,SAUDI ARABIA,1.0
louis oosthuizenand martin kaymer,CANADA,1.0
sundayby hassan nasrallah,BEIRUT LEBANON,1.0
muqtada sadr,IRAQ,1.0
hilton ras al-khaimahresort,OMAN,1.0
adel trabelsi,TUNISIA,1.0
donatien tuyisenge,RWANDA,2.0
tlou segolela,EGYPT,3.0
ibn khaldun,TUNISIA,3.0
abah ofan,SINGAPORE,1.0
marty smithsection,UNITED STATES,1.0
ismael skheir,TUNISIA,1.0
haile assefa,ETHIOPIA,2.0
edward ssali,AFRICA,2.0
omar mustafa,EGYPT,2.0
chris juddon,UNITED ARAB EMIRATES,1.0
aamir khan,AUSTRALIA,2.0
thomas aiken,SCOTLAND,1.0
neetu jainwas,LONDON ENGLAND,1.0
peter bradshaw,IRAQ,1.0
catherine of aragon,UNITED STATES,2.0
lance cpl. josemaldonado,TEXAS USA,1.0
jam ghajar,UNITED STATES,1.0
bill curry,CANADA,1.0
zine el abidine ben aliflee,EGYPT,1.0
regis chakabva,ZIMBABWE,1.0
matt jones,EGYPT,1.0
rebali riad,WALES,1.0
david grossmanthat,ISRAEL,1.0
emma lazarus,UNITED STATES,1.0
jannick lupsecu,AUSTRALIA,2.0
robert deniro-backed,QATAR,1.0
rene redzepi,UNITED STATES,1.0
johan edfors,SCOTLAND,3.0
younus mohammed,IRAQ,1.0
abdallah salih,TUNISIA,1.0
larry ellison,TORONTO ON CANADA,1.0
henning mankell,EGYPT,1.0
john harper,ITALY,2.0
evelyn barker,ISRAEL,1.0
bilal al-hasan,ISRAEL,1.0
paul mcgeough,UNITED STATES,2.0
renate sieffert,RED SEA,2.0
hong lei,TUNISIA,1.0
tamiru dinkinesh,BURUNDI,1.0
mohammed ramadan,UNITED STATES,1.0
boxhill don reid,UNITED STATES,1.0
christian mwijanda,GHANA,1.0
leigh smith,UNITED ARAB EMIRATES,1.0
lutfur rahman,LONDON ENGLAND,1.0
chris breretonsection,AUSTRALIA,2.0
sayyid ali al-sistani,IRAQ,6.0
michael joseph,IRAQ,1.0
jose enrique,DUBAI UNITED ARAB EMIRATES,3.0
achuoth philip deng,SUDAN,1.0
bani beyamaniwho,ISRAEL,2.0
faouzi benzarti,TUNISIA,1.0
sarah crown,IRAQ,2.0
kate gaul,VICTORIA AUSTRALIA,1.0
brent harvey,MELBOURNE AUSTRALIA,1.0
ya'aqov katz,EGYPT,2.0
mohammed sukiyeh,PALESTINIAN TERRITORY OCCUPIED,1.0
kristina keneally,NEW SOUTH WALES AUSTRALIA,1.0
lazarus chilufya,NAMIBIA,1.0
mark heyman,ARCTIC,1.0
darrell issa,UNITED STATES,2.0
gregg allman,BRAZIL,1.0
rebecca ferguson,LONDON ENGLAND,1.0
muhammad rasulullah,NIGERIA,1.0
aung san suu kyi,IRAQ,1.0
chung mong joon,QATAR,7.0
nick cleggis,IRAQ,6.0
m.p. walid eido,LEBANON,1.0
matt thornhill,ENGLAND,1.0
mohamedal-mukhtar hassan hussein,SUDAN,1.0
luis figo,PORTUGAL,2.0
monty python,TUNISIA,1.0
walen buiten,BELGIUM,1.0
laura markle,EGYPT,1.0
robert mugabe,IRAQ,1.0
neil cooper,EDINBURGH SCOTLAND,1.0
rory patterson,GERMANY,4.0
mustafa hamid,EGYPT,1.0
george baker,IRAQ,2.0
gerard keenan,TUNISIA,1.0
ashraf khalilsection,EGYPT,4.0
flavia pansieri,SINGAPORE,1.0
walid jumblattannounced,LEBANON,1.0
ali al hashimi,ISRAEL,1.0
scot andy murray,SERBIA,2.0
francesco molinari,DUBAI UNITED ARAB EMIRATES,2.0
saleh hefni,SAUDI ARABIA,1.0
miles tunnicliff,PERTH AUSTRALIA,1.0
steve winter,CALIFORNIA USA,1.0
ahmaduadamu mu'azu,NIGERIA,2.0
greg jaffe,AFGHANISTAN,1.0
christine armario,UNITED STATES,1.0
baker hughes,IRAQ,2.0
alan hollinghurst,SWEDEN,1.0
brad jones,UNITED ARAB EMIRATES,1.0
ahmed abu elaze,CAIRO EGYPT,3.0
louise evans,MOROCCO,10.0
nathan burnsstarted,AUSTRALIA,1.0
mohammad shamsi ali,UNITED STATES,1.0
julius baumannsection,AFRICA,3.0
worawi makudi,ASIA,1.0
thomas cook aquamania,FLORIDA USA,2.0
ben westmore,NIGERIA,4.0
louisa lenox hodges,VICTORIA AUSTRALIA,1.0
amos yaldin,LEBANON,2.0
shaykh hamad abu daabis,ISRAEL,1.0
tom hansen,LONDON ENGLAND,1.0
wang shixian,KOREA REPUBLIC OF,1.0
naba newsal-saffar,YEMEN,1.0
shaban kadoand said mohamed,EGYPT,3.0
neil kilkenny,SYDNEY AUSTRALIA,1.0
corbyboss graham drury,QATAR,2.0
singh puri,CHINA,1.0
michael savage,IRAQ,1.0
andr turpin,MIDDLE EAST,2.0
zein al-abinine ben alidiscovered,TUNISIA,1.0
mohammed al-siaghi,YEMEN,1.0
frankie boyle,TUNISIA,1.0
david mark,SUDAN,1.0
pinhas lavon,PALESTINIAN TERRITORY OCCUPIED,2.0
alex sink,OMAN,1.0
al jezeera,YEMEN,1.0
william hague,TUNISIA,11.0
patrick mcgovern,ARMENIA,1.0
ayatollah musavi-jaza,IRAQ,1.0
rory mcilroyand,SCOTLAND,2.0
mutahar al masri,JORDAN,4.0
giorgio armani,RUSSIAN FEDERATION,1.0
habib kaabachi,SUDAN,1.0
wang yihan,KOREA REPUBLIC OF,1.0
tun dr mahathir mohamad,SUDAN,1.0
amira mansour,EGYPT,3.0
usamah al-nujayfi,UNITED STATES,1.0
yahya jammeh,TUNISIA,4.0
brendan gleeson,DENMARK,1.0
li zanjing,SYRIA,1.0
bianca brandolini,PARIS FRANCE,1.0
julien anfruns,EUROPE,1.0
nadhim zahawi,IRAQ,1.0
norman schwarzkopf,UNITED STATES,2.0
ugo tramballi,EGYPT,1.0
thomas cook aquamania,EGYPT,12.0
nick matthew,LONDON ENGLAND,4.0
vikram pandit,SAUDI ARABIA,1.0
khalid hamad,TUNISIA,1.0
anita pallenberg,NORTHERN IRELAND,1.0
ousman yabo,GAMBIA,2.0
naomi watts,NIGER,1.0
raed yassin,BEIRUT LEBANON,1.0
gary woodland,UNITED ARAB EMIRATES,1.0
david katcoffjericho,TUNISIA,1.0
jennifer davies,MOROCCO,1.0
kepa junkera,SCOTLAND,1.0
mahmoud abuzeid,YEMEN,1.0
scott gibson,EGYPT,1.0
kerrie murphysection,IRAQ,1.0
brian eno,EGYPT,2.0
hwang jae-won,KOREA REPUBLIC OF,1.0
mahmoud abbas,UNITED STATES,8.0
givat brenner,PALESTINIAN TERRITORY OCCUPIED,1.0
simon rosenberg,UNITED STATES,1.0
linford christie,UNITED STATES,1.0
michael worton,NIGERIA,1.0
muhammad naji utri,IRAQ,1.0
wesley pruden,EGYPT,1.0
gemma carroll,UNITED KINGDOM,2.0
catherine the great,JERUSALEM ISRAEL,1.0
thulani serero,EGYPT,3.0
juha kankkunen,QATAR,2.0
robin haase,FRANCE,1.0
ariel jerozolimski,BELGIUM,1.0
mohd annuar yang ghazali,MALAYSIA,1.0
dhia jerbe,TUNISIA,4.0
patrick connolly,EUROPE,1.0
nitzan alon,PALESTINIAN TERRITORY OCCUPIED,1.0
r.g. little,UNITED STATES,1.0
aaron sorkin-penned,LOS ANGELES CA USA,1.0
richard tardy,RWANDA,7.0
jacqueline dillion,LONDON ENGLAND,1.0
adam traore,SYDNEY AUSTRALIA,1.0
james brandon,CONNECTICUT USA,1.0
pope benedict xvi,ISRAEL,2.0
rufus black,AUSTRALIA,1.0
john leachlondon,IRAQ,1.0
sacha baron cohen,NIGERIA,2.0
ali shahrokhi,UNITED STATES,1.0
adam levin,SWEDEN,1.0
tunisianstrongman zine el-abidine ben ali,TUNISIA,1.0
hugh robertson,GERMANY,2.0
masoud ramadani,TUNISIA,1.0
shaykh hamad bin-jasim bin jabiral-thani,UNITED STATES,2.0
emraan dasoo,SOUTH AFRICA,3.0
cabo sanlucas,UNITED STATES,1.0
luis angel bellaba,SPAIN,1.0
cherie blair,IRAQ,1.0
louis jacobson,UNITED STATES,1.0
vladimir lenin,UKRAINE,1.0
bojana jovanovski,INDIA,1.0
alex. mrs meldrum,AUSTRALIA,1.0
david steinhart,ISRAEL,1.0
steve henry,MOROCCO,1.0
linda pearce,CHINA,1.0
jeff kinney,MEXICO,1.0
patrick s skindwhat,FRANCE,1.0
steven boote,TUNISIA,4.0
politicspaul malone,QUEENSLAND AUSTRALIA,1.0
mary pat bought sanctuarybuildings,UNITED STATES,1.0
ezra levant,SAUDI ARABIA,1.0
joan yarde-buller,UNITED STATES,1.0
anwar sadat,UNITED STATES,2.0
gary nicks,PORTUGAL,1.0
paul dainty,SYDNEY AUSTRALIA,1.0
mike idioma,PHILIPPINES,1.0
nasi lemak,UNITED ARAB EMIRATES,1.0
ren gruau,LONDON ENGLAND,1.0
michael kordacaptures,SYRIA,1.0
rafic nasrallah,UNITED STATES,1.0
michael clark,UNITED KINGDOM,2.0
josecintron rosado,UNITED STATES,1.0
tom chiversdancing,SOUTH AFRICA,1.0
stim peppin,WALES,1.0
victor anichebe,QATAR,4.0
clark poundstone,UNITED STATES,1.0
kate beckinsale,LONDON ENGLAND,1.0
peter blair,IRAQ,1.0
john faheysection,TUNISIA,1.0
jassem al-kharafi,TURKEY,1.0
zin el abidin ben ali,UNITED ARAB EMIRATES,3.0
anne hathaway,INDIA,1.0
pres hosni mubarak,ISRAEL,17.0
aimee fernandez,TAMPA FL USA,1.0
alister walker,EGYPT,1.0
keith shuttleworth,LONDON ENGLAND,1.0
rhys thomas,LONDON ENGLAND,1.0
mohamed abdel dayem,TUNISIA,1.0
phil neville,EUROPE,1.0
owen kasulewere,EGYPT,2.0
darius mosun,CANADA,2.0
david conn,IRAQ,2.0
mohammed bedeir,EGYPT,1.0
roberto mancini,ITALY,3.0
robbie kruze,IRAQ,5.0
scott carpenter,EGYPT,1.0
wang yihan,NORTH CENTRAL CHINA,1.0
noomi rapace,LONDON ENGLAND,2.0
ofosama bin laden,PAKISTAN,2.0
mahmoud ahmadinejad,BAHRAIN,1.0
amanda holden,SOUTH AFRICA,1.0
bahaa al-aaraji,IRAQ,1.0
jatuporn prompan,UNITED ARAB EMIRATES,1.0
raphael jacquelin,UNITED STATES,3.0
grant holt,SCOTLAND,1.0
rula shehedeh,ISRAEL,1.0
drabd-al-khaliq abdallah,IRAN ISLAMIC REPUBLIC OF,1.0
susie wang,DUBAI UNITED ARAB EMIRATES,1.0
thozamile taki,SWITZERLAND,1.0
gabrielle giffords,UNITED STATES,20.0
neil simon,ENGLAND,1.0
stephen wayne,UNITED STATES,1.0
jack fraser,EGYPT,1.0
boris gryzlov,PALESTINIAN TERRITORY OCCUPIED,1.0
murad hofifian,LEBANON,1.0
stephen dinan the,ARIZONA USA,1.0
mirwais yasini,KOREA REPUBLIC OF,1.0
christina aguilera,NORD-PAS-DE-CALAIS FRANCE,1.0
muhammad al-ghamdi,SAUDI ARABIA,2.0
anna lado,SUDAN,1.0
mustapha allouchurged,LEBANON,1.0
alaa ammar,EGYPT,1.0
carolina nevarez,AFGHANISTAN,1.0
hillary clintonthe,IRAN ISLAMIC REPUBLIC OF,8.0
tycho braheobservatory,EARTH,2.0
gilad erdan,UNITED STATES,1.0
james mccaffrey,UNITED STATES,1.0
javed miandad,PAKISTAN,1.0
judgegeoffrey rivlin,UNITED KINGDOM,2.0
ryan shawcross,EUROPE,2.0
rafik hariri saad hariri,CANADA,1.0
robinson crusoe,UNITED ARAB EMIRATES,1.0
david joyce,KENYA,1.0
omar al-khatib,DUBAI UNITED ARAB EMIRATES,1.0
chris perry,NEW ZEALAND,1.0
abd-al-sattar hutaytah,TUNISIA,1.0
igal mayer,EUROPE,2.0
tony watt,DUBAI UNITED ARAB EMIRATES,1.0
mona sibai,LEBANON,1.0
paul sugarman,RWANDA,1.0
sandeep singh grewal,BAHRAIN,1.0
mohamed el aoual,MOROCCO,1.0
ahmed raouf,EGYPT,2.0
cinema du parc,QUEBEC CANADA,1.0
gideon brookssection,PAKISTAN,1.0
yosuke kashiwagi,IRAQ,1.0
nat tate,SWEDEN,1.0
tom keneally,AUSTRALIA,2.0
paul mellars,AFRICA,2.0
sam curtis,AUSTRALIA,1.0
anna jobsz,UNITED ARAB EMIRATES,2.0
ismail omargelleh,SOMALIA,1.0
timothy bradley,LONDON ENGLAND,1.0
hassan kadhafi,BAHRAIN,1.0
peter hanson,SWEDEN,1.0
ibrahim bahari,MALAYSIA,1.0
salma said,EGYPT,1.0
abdelgadir mohamedabdelgadir,SUDAN,1.0
bilal mohammed,KUWAIT,1.0
philip of macedon,GREECE,1.0
osman al-menyawy,EGYPT,3.0
mario calabresi,ITALY,2.0
stacy schiff,UNITED STATES,6.0
bill clinton,AUSTRALIA,2.0
al jamil,SUDAN,1.0
scot andy murray,UNITED KINGDOM,1.0
michael berrer,SERBIA,1.0
bouabdellah ghlamallah,ALGERIA,1.0
samantha stosurage,WALES,1.0
josedelgado arroyo,UNITED STATES,1.0
yacoub ould dahoud,TUNISIA,5.0
matt huston,EGYPT,1.0
mousatfa rady,EGYPT,1.0
micheline calmy-rey,EUROPE,1.0
yaroslava shvedovaand andrey golubev,INDIA,1.0
sonia nassery cole,PAKISTAN,1.0
mohamed abdul quddus,EGYPT,2.0
ryan giggs,LIVERPOOL ENGLAND,4.0
julian assangeand private bradley manning,UNITED STATES,16.0
simon schaffer,KENYA,2.0
mark christian,SCOTLAND,1.0
joe elliffe,UNITED STATES,1.0
caesar okhuti scoringuganda,BURUNDI,3.0
rehov hagra,ISRAEL,1.0
matty parker,SAUDI ARABIA,1.0
john o'shea,MANCHESTER ENGLAND,2.0
key porter,CANADA,1.0
david gold,EGYPT,1.0
sergio busquetsalongside eric abidal,UNITED ARAB EMIRATES,1.0
daniyel ben-simon,ISRAEL,1.0
tariq al-hashimi,YEMEN,1.0
vera zvonareva,SYDNEY AUSTRALIA,2.0
korrect kritters,TAMPA FL USA,1.0
jamie cooper,IRAQ,1.0
salih armuti,JORDAN,1.0
steve james,UNITED STATES,2.0
felicien kabanda,RWANDA,2.0
hamid al-sweady,UNITED KINGDOM,1.0
ngoni mukukula,SOUTH AFRICA,2.0
hisdai eliezer,ISRAEL,1.0
peter oborne,ISRAEL,1.0
ali al hussein,QATAR,1.0
alicia florrick,AUSTRALIA,1.0
dani harmer,UNITED STATES,1.0
heba morayef,CANADA,1.0
uri brodsky,ETHIOPIA,1.0
munir ghahush,YEMEN,1.0
anne semonin,MOROCCO,1.0
generalmohamed harrath,TUNISIA,1.0
mirco demuro,JAPAN,1.0
richard broughton,LONDON ENGLAND,1.0
paul atherton,IRAQ,1.0
sasa ognenovskiwanted,AUSTRALIA,2.0
william gladstone,UNITED KINGDOM,2.0
eugenie regan,IRELAND,1.0
benjamin lowy,NEW YORK NY USA,1.0
faysal abu-shahla,PALESTINIAN TERRITORY OCCUPIED,1.0
tia maria torres,FRANCE,1.0
uche secondus,NIGERIA,2.0
kathy myers,TAMPA FL USA,1.0
steven lee myers,TURKEY,1.0
chris tobin,UNITED STATES,1.0
tawanda nyamandwe,ZIMBABWE,3.0
haim malka,TUNISIA,1.0
jabir aziz,BURUNDI,1.0
rabindranath tagore,SCOTLAND,1.0
de mbare,AFRICA,1.0
emma okwi,UNITED STATES,1.0
sara shepard,EGYPT,1.0
alex christodoulides,EGYPT,3.0
abu musab abdul wadud,IRAQ,2.0
lotfian sargazi,IRAN ISLAMIC REPUBLIC OF,1.0
hamed karzai,UNITED STATES,9.0
leila trabelsimay,FRANCE,1.0
nicholas musonye,EGYPT,2.0
dan murphy,IRAQ,1.0
fred mugerwa,EGYPT,2.0
aron ralston,UNITED STATES,2.0
mahmoud ahmadinejad,SAUDI ARABIA,1.0
jimmy carr,LONDON ENGLAND,1.0
ed miliband,UNITED KINGDOM,20.0
edward colimore,UNITED STATES,1.0
mohammad rahhal,LEBANON,3.0
andy roddickstarted,AUSTRALIA,1.0
gwendolyn j.,TAMPA FL USA,1.0
jennifer gibson,WALES,1.0
armando iannucci,UNITED KINGDOM,1.0
tahir sema,ISRAEL,1.0
hugh hefner,ITALY,1.0
ivan lendl,MELBOURNE AUSTRALIA,2.0
julia gillard,UNITED STATES,2.0
larry mcshane,EGYPT,5.0
imad sa'ab,VENEZUELA BOLIVARIAN REPUBLIC OF,1.0
bruce matthewssection,AUSTRALIA,1.0
james orengo,LONDON ENGLAND,1.0
abdou abdel monaam hamdeh,TUNISIA,2.0
timothy hanson,IRAQ,1.0
peter davison,EUROPE,2.0
shaykh qasim,LEBANON,1.0
graham darlington,MOROCCO,1.0
david pizarro,GERMANY,1.0
julie bowd,AUSTRALIA,1.0
khaled daher,EGYPT,1.0
datuk wahiruddin wahid,MALAYSIA,1.0
deng zhuoxiang,CHINA,1.0
melissa van der klugtsection,IRAQ,2.0
kelly cartwright,AUSTRALIA,1.0
chung mong-joonby,QATAR,3.0
ministerahmet davutoglu,TURKEY,1.0
charles de gaulle,SAUDI ARABIA,2.0
michael schumacher,GERMANY,1.0
shimon peresand,TURKEY,1.0
eid ebeid,EGYPT,1.0
halle berry,UNITED STATES,1.0
mahmoud fathalla,TUNISIA,1.0
milos raonic,AUSTRALIA,4.0
jonas gutierrez,DUBAI UNITED ARAB EMIRATES,1.0
diego forlan,AUSTRALIA,1.0
hosni abdrabo,EGYPT,2.0
steven boote,UNITED STATES,1.0
talal erslan,LEBANON,1.0
niall mckenna,NEW ZEALAND,1.0
ramin mehmanparast,TUNISIA,2.0
shane lowry,UNITED STATES,2.0
michele d'urso,YEMEN,1.0
albie sachs andsharad rao,QATAR,2.0
bruno cazarine,MELBOURNE AUSTRALIA,1.0
bill hileman,TUCSON AZ USA,1.0
stacy schiff,MEXICO,1.0
martin oduor-otieno,SUDAN,2.0
gael monfils,MELBOURNE AUSTRALIA,1.0
leanne smith,UNITED STATES,1.0
hassan mneimneh,LEBANON,1.0
wajdi gonul,TURKEY,1.0
andy coulsonresignsvideo tony blair,SAUDI ARABIA,3.0
ronnie moran,LIVERPOOL ENGLAND,1.0
david mclay kidd,SCOTLAND,1.0
neveh sha'anan,ISRAEL,1.0
john kelly,IRELAND,1.0
hasan danai,IRAQ,1.0
kozza smith,SCOTLAND,1.0
angelina zuber,UNITED STATES,1.0
shelly woodspulled,NORTHERN IRELAND,1.0
jason beattiesection,IRAQ,3.0
brett graham,FRANCE,1.0
sayyid abbas al-musawi,LEBANON,1.0
foued mebazaa,TUNISIA,2.0
caroline silver,NORTH AMERICA,1.0
marjorie de saint-ferjeux,AUSTRALIA,1.0
mustafa kemal ataturk,TUNISIA,1.0
nicholas fattoush,UNITED STATES,2.0
norman grant,BIRMINGHAM ENGLAND,1.0
keren muswere,AFRICA,2.0
king abdullah i,SUDAN,1.0
karren bradysection,LONDON ENGLAND,1.0
phil jagielka,MANCHESTER ENGLAND,1.0
pol col naras,SAUDI ARABIA,1.0
moon ha-yong,UNITED KINGDOM,1.0
ashleigh hampton,LIVERPOOL ENGLAND,1.0
stephen jardinesection,MOROCCO,1.0
sean darby,SINGAPORE,1.0
corpus christi,LONDON ENGLAND,1.0
michael vick,AUSTRALIA,1.0
al-habib al-louz,TUNISIA,1.0
michael woods,IRELAND,1.0
hasan qiyami,IRAN ISLAMIC REPUBLIC OF,1.0
jack sparrow,ALPS,1.0
richard goldstone,ISRAEL,1.0
steve williams,NEW SOUTH WALES AUSTRALIA,1.0
maria sharapova,SERBIA,1.0
carolyn mccall,EGYPT,1.0
abraham lincoln,IRAQ,1.0
martin chulov,IRAQ,1.0
mark opio,UGANDA,2.0
evonne goolagong cawley,AUSTRALIA,2.0
nasser al-attiyah,TAMPA FL USA,1.0
nina burleigh,ITALY,1.0
robert odongkara,BURUNDI,2.0
fionnan tolan,IRELAND,1.0
jean baptistmugiraneza a.k.a migi,KENYA,1.0
ndatimana robert,RWANDA,1.0
ali bin al hussein,MALAYSIA,1.0
lebanesepremier rafiq al-hariri,BEIRUT LEBANON,2.0
stephen cooper,UNITED STATES,1.0
ken costa,QATAR,3.0
michael beloff,PAKISTAN,9.0
nouri al-malikiformed,IRAQ,1.0
omar el bashir,EGYPT,1.0
john poole,LEBANON,2.0
mark landler,LEBANON,1.0
floyd mayweather jnr,ENGLAND,1.0
nisha lilia,SCOTLAND,1.0
nick coulter,UNITED STATES,1.0
stephen walters,AUSTRALIA,1.0
ian morley,NORTH AMERICA,1.0
queen elizabeth ii,UNITED KINGDOM,1.0
younadam kanna,UNITED STATES,1.0
dashiell hammett,CHINA,1.0
haleem heenish,PALESTINIAN TERRITORY OCCUPIED,1.0
george marlin,UNITED STATES,1.0
shmuley boteachsection,UNITED STATES,1.0
hiba mustafa,EGYPT,5.0
john roberts,EGYPT,3.0
maher abdullah,UNITED STATES,1.0
ndayishimiye celestin,RWANDA,1.0
peter rees,ARIZONA USA,1.0
lewis hamilton,UNITED STATES,1.0
george gillett,LIVERPOOL ENGLAND,1.0
ikililou dhoinini,AFRICA,2.0
anthony stokes,BELGRADE SERBIA & MONTENEGRO,1.0
jason koutsoukis,ISRAEL,2.0
kate saunders,UNITED STATES,1.0
carlos queiroz,QATAR,1.0
milton keynes,UNITED ARAB EMIRATES,1.0
nadim shehadi,LEBANON,3.0
bas van den brink,VICTORIA AUSTRALIA,1.0
daniel benjamin,UNITED STATES,1.0
dror yemini,ISRAEL,1.0
john sipling,ABU DHABI UNITED ARAB EMIRATES,1.0
nafi ali nafi,SUDAN,1.0
dimitri soudas,SWITZERLAND,1.0
al-youm al-saba,EGYPT,1.0
mohammed al-merri,KUWAIT,1.0
peter reid,EGYPT,1.0
keith brown,UNITED STATES,1.0
hezbollahleader sheik hassan nasrallah,ISRAEL,3.0
albert einstein,ISRAEL,1.0
shaul mofaz,ISRAEL,1.0
salar jaff,UNITED STATES,2.0
olivia wirth,UNITED STATES,1.0
mustafa uthman isma'il,SUDAN,1.0
muhammad najib miqati,IRAQ,1.0
roger hannahsection,KOREA REPUBLIC OF,1.0
karl hudson-phillips,ISRAEL,1.0
kesyy mapande,AFRICA,2.0
roger federerat,OKLAHOMA CITY OK USA,1.0
alberto zaccheroni,ASIA,1.0
hamid al-ruwaili,SAUDI ARABIA,1.0
bret bielema,UNITED STATES,1.0
alan gray,AUSTRALIA,3.0
christophe aleveque,QATAR,1.0
barmansaid al-hajj,YEMEN,1.0
sulley muntari,MONACO,1.0
carlo alberto brusa,QATAR,4.0
alejandro gonzalez inarritu,UNITED STATES,5.0
sabado gigante,CHILE,1.0
fredi bobic,GERMANY,1.0
nuri al maliki,IRAQ,68.0
sam querrey,QATAR,1.0
shabani ibrahim,KENYA,1.0
borzou daragahi,EGYPT,1.0
joe flanagan,IRELAND,1.0
stanley kubrick,UNITED STATES,1.0
royal ascot,LONDON ENGLAND,1.0
sherif ibrahim,EGYPT,2.0
prue leith,LONDON ENGLAND,1.0
lachlan mackay,LONDON ENGLAND,1.0
bashar alassad,KOREA DEMOCRATIC PEOPLE'S REPUBLIC OF,1.0
noe van hulst,LIBYAN ARAB JAMAHIRIYA,1.0
speakerjasim al-kharafi,IRAQ,1.0
ahmad abdallahsaid,BAGHDAD IRAQ,1.0
pablo schreiber,UNITED STATES,2.0
a.a. tahaand,EGYPT,1.0
thomas cook stylecollection,BALEARIC ISLANDS SPAIN,1.0
de la rue,EGYPT,2.0
bishop mcareavey,MAURITIUS,2.0
angeline joliehad,DUBAI UNITED ARAB EMIRATES,2.0
struggle oosthuizen,SOUTH AFRICA,1.0
aleksander cvetkovic,BOSNIA & HERZEGOVINA,1.0
chris bryant,NORTHERN IRELAND,1.0
alex stober,IRAQ,1.0
george clooneyand condoleezza rice,MIDDLE EAST,1.0
datin seri rosmah mansor,MALAYSIA,1.0
kin fei,SINGAPORE,1.0
mouldi hamami,TUNISIA,1.0
abdul rashid,INDONESIA,2.0
peter garrett,AUSTRALIA,2.0
blanka vlasic,UNITED KINGDOM,2.0
lee westwood,ABU DHABI UNITED ARAB EMIRATES,13.0
marcel carne,UNITED STATES,1.0
arab jan palach,TUNISIA,2.0
tom prydie,LONDON ENGLAND,1.0
mohamed atef,CZECH REPUBLIC,1.0
mohamed ben hassouna ghannouchi,TUNISIA,3.0
germanstar tommy haas,CHINA,2.0
ali bana'i,SCOTLAND,1.0
dusit nontanakorn,CHINA,3.0
ahmed lachheb,SYDNEY AUSTRALIA,1.0
gholam reza davari,IRAN ISLAMIC REPUBLIC OF,1.0
nancy d'avanzo,IRAQ,1.0
roberto mancini,MANCHESTER ENGLAND,2.0
johan botha,INDIA,2.0
eyal zisser,ISRAEL,2.0
val kilmer,UNITED STATES,1.0
terry hupp,TAMPA FL USA,1.0
heather mitchell,NORTH AMERICA,1.0
pres hosni mubarak,MALAYSIA,1.0
jean marc bosman,QATAR,1.0
che guevara,KASHMIR,1.0
salmaan taseer,CHINA,1.0
ana almeida,PORTUGAL,1.0
ghenwa hayek,EGYPT,1.0
benito mussolini,ARGENTINA,1.0
americandustin johnson,UNITED STATES,1.0
abu dhabiwith rafael nadal,MELBOURNE AUSTRALIA,9.0
jon ronson,IRAQ,4.0
christian seifert,QATAR,2.0
hamad bin add-al-aziz,SAUDI ARABIA,1.0
ansar al-sunnah,KHARTOUM SUDAN,1.0
serge toubiana,PARIS FRANCE,1.0
hua hin,PERTH AUSTRALIA,1.0
sergei fursenko,BRAZIL,1.0
marina dalglish,BAHRAIN,2.0
kelvin hall,FRANCE,1.0
george vi chasehas,LOS ANGELES CA USA,1.0
kipson atuhairwe,TUNISIA,2.0
barack obamalast,ISRAEL,2.0
colin powell,UNITED STATES,7.0
salim saleh,SOMALIA,2.0
abd-al-rahman mustafa,IRAQ,2.0
tim doyne,QATAR,1.0
gabrielle giffords,GERMANY,1.0
jay solomon,LEBANON,2.0
john chilcot,LONDON ENGLAND,1.0
samer hassan saleh,IRAQ,1.0
nguyen manh dung,EUROPEAN UNION MEMBER STATES,1.0
sami kulaybconducts,SYRIA,1.0
denise hilton,UNITED STATES,1.0
el qantarah,MIDDLE EAST,1.0
jeremy clarkson,BEIRUT LEBANON,1.0
lamont peterson,PAKISTAN,4.0
andy carrollon,UNITED ARAB EMIRATES,3.0
jean mfasoni,ETHIOPIA,1.0
ahmad jibril,IRAN ISLAMIC REPUBLIC OF,2.0
risho ngasa,UGANDA,1.0
nushi atta girgis,EGYPT,1.0
anastasia rodionova,UNITED STATES,1.0
bassam al-sharabi,TUNISIA,1.0
ian meldrum,AUSTRALIA,1.0
rocky visconte,QATAR,1.0
zawra park,BEIRUT LEBANON,2.0
ben archibaldsection,AFGHANISTAN,1.0
dustin johnson,UNITED STATES,1.0
apollo nsibambi,KAMPALA UGANDA,2.0
shahid karim,PAKISTAN,3.0
joseph courtney,CONNECTICUT USA,3.0
andrew demetriou,AUSTRALIA,2.0
mohammed bin zayed al nahyan,GULF STATES,1.0
cecil john rhodes,LAGOS NIGERIA,1.0
hoseyn sobhaninia,UNITED STATES,1.0
safwat al-zayyat,EGYPT,1.0
hoshyar zebarisaid,KUWAIT,1.0
al-din al-hariri,TURKEY,3.0
alex ferguson,ABU DHABI UNITED ARAB EMIRATES,1.0
stuart davis,MOSCOW RUSSIAN FEDERATION,1.0
michael collins dunn,EGYPT,1.0
jules verne,JORDAN,1.0
john kerry,SUDAN,3.0
helen clark,ABU DHABI UNITED ARAB EMIRATES,1.0
tanya wheeler,DUBAI UNITED ARAB EMIRATES,3.0
stephen moyessection,MIDDLE EAST,1.0
dicky eklund,UNITED STATES,1.0
